I1,I2,I3
1.558,0,0.0516
1.4356,0,0.0547
1.3563,0,0.048
1.3563,0,0.0491
1.5578,0,0.0454
1.637,0,0.0454
1.6369,0,0.0397
1.5578,0,0.0427
1.5578,0,0.0432
1.7529,0,0.0364
1.5576,0,0.0396
1.5578,0,0.037
1.6369,0,0.0306
1.3563,0,0.0306
1.7529,0,0.03
1.558,0,0.0282
1.7527,0,0.0238
1.2405,0,0.0249
1.5578,0,0.0218
1.5578,0,0.0222
1.4355,-0.2094,0.0156
1.7527,0,0.0218
1.7519,0,0.0194
1.7527,0,0.0134
1.7522,0,0.0097
1.7531,-0.2094,0.0101
1.6369,-0.1047,0.0093
1.2403,0,0.007
1.4355,0,0.0042
1.3561,0,0.0042
1.6373,-0.1047,0.0011
1.6373,-0.1047,0.0011
1.558,0,-0.0018
1.637,0,-0.0046
1.4352,0,-0.0081
1.8325,0,-0.0081
1.7522,0,-0.0112
1.637,0,-0.0073
1.5582,-0.1047,-0.0135
1.558,0,-0.0135
1.6369,0,-0.0167
1.7524,0,-0.019
1.5578,-0.2094,-0.0196
1.3563,0,-0.0194
1.4355,0,-0.0192
1.5582,0,-0.0222
1.5578,-0.1047,-0.0255
1.558,-0.1047,-0.0253
1.6369,0,-0.0253
1.1615,0,-0.0311
1.947,0,-0.0313
1.5578,-0.2094,-0.0311
1.558,-0.2094,-0.028
1.5578,-0.2094,-0.0311
1.4352,-0.3142,-0.0311
1.5576,-0.2094,-0.0222
1.4356,-0.5236,-0.0253
1.832,-0.8378,-0.0256
1.6373,-0.9425,-0.0255
1.8322,-0.9425,-0.0255
1.5582,-0.733,-0.0258
1.6373,-0.5236,-0.026
1.5582,-0.3142,-0.0317
1.637,-0.2094,-0.0322
1.5578,-0.2094,-0.0341
1.3559,-0.2094,-0.0357
1.5582,-0.2094,-0.0357
1.8315,-0.3142,-0.0348
1.5576,-0.2094,-0.0357
1.6369,-0.4189,-0.0357
1.5582,-0.4189,-0.0335
1.6373,-0.6283,-0.0322
1.6373,-0.733,-0.0302
1.6373,-0.9425,-0.0269
1.5578,-1.2566,-0.0234
1.7527,-1.4661,-0.0198
1.8315,-1.7802,-0.0165
1.6375,-1.885,-0.0117
1.6369,-1.885,-0.0146
1.5578,-1.4661,-0.0121
1.558,-1.0472,-0.0148
1.637,-0.733,-0.0179
1.9468,-0.4189,-0.0209
1.7527,-0.2094,-0.0266
1.558,0,-0.0266
1.5578,0,-0.0295
1.7529,0,-0.0295
1.5582,0,-0.0269
1.6373,0,-0.0269
1.6373,0,-0.0322
1.7524,0,-0.0267
1.5582,0,-0.0267
1.7527,0,-0.0236
1.6366,0,-0.0266
1.4356,0,-0.0209
1.5576,0,-0.0178
1.4356,0,-0.0178
1.637,0,-0.0152
1.4355,0,-0.0178
1.637,0,-0.0148
1.5582,0,-0.0146
1.4355,-0.1047,-0.0088
1.6373,0,-0.009
1.5576,0,-0.0119
1.7524,0,-0.009
1.3563,0,-0.0033
1.5582,0,0
1.7524,0,0.0027
1.4356,0,0.0084
1.7527,0,0.0084
1.5582,0,0.0114
1.7524,0,0.02
1.558,0,0.02
1.637,0,0.0264
1.4355,0,0.026
1.4356,0,0.032
1.6373,0,0.0379
1.6375,0.1047,0.0379
1.7527,0.1047,0.041
1.5582,0.2094,0.0441
1.7529,0.4189,0.0441
1.6373,0.6283,0.0439
1.8322,0.8378,0.0471
1.6375,1.0472,0.0487
1.7527,1.0472,0.0511
1.6369,0.8378,0.0547
1.3559,0.6283,0.058
1.7527,0.5236,0.0667
1.6373,0.4189,0.0714
1.637,0.4189,0.071
1.6375,0.5236,0.0749
1.7524,0.6283,0.0745
1.558,0.8378,0.0817
1.7524,1.1519,0.0764
1.8322,1.3614,0.0703
1.7527,1.7802,0.0699
1.4352,2.7227,0.0687
1.558,3.351,0.0665
2.0263,3.6652,0.0588
1.6373,3.2463,0.0538
1.637,2.8274,0.0639
1.6373,2.7227,0.0688
1.8315,2.4086,0.0787
1.7529,2.1991,0.0776
1.7527,1.885,0.0861
1.5578,1.9897,0.0927
1.5582,2.1991,0.0829
1.637,2.5133,0.0917
1.7527,3.351,0.0701
1.7524,4.5029,0.0628
1.8312,5.7596,0.0586
1.9468,6.7021,0.0366
1.7527,7.6445,0.0309
1.637,7.6445,0.0189
1.9473,7.2257,0.0104
1.7524,7.5398,0.0342
1.637,6.2832,0.0225
1.7527,5.969,0.0417
1.5578,5.236,0.039
1.5582,5.1313,0.0467
1.7524,5.236,0.0447
1.7524,5.7596,0.0427
1.5578,5.3407,0.043
1.5582,5.4454,0.045
1.7529,6.0737,0.0533
1.6366,5.0265,0.0504
1.558,3.5605,0.0456
1.6369,3.0369,0.0637
1.9473,3.4558,0.0804
1.7527,3.4558,0.0775
1.7519,2.618,0.0676
1.637,2.4086,0.072
1.4355,2.618,0.0769
1.4355,3.351,0.0736
2.0266,3.9794,0.0652
1.832,3.9794,0.0504
1.5576,4.0841,0.0428
1.7527,4.8171,0.0315
1.947,6.5973,0.0244
1.832,6.9115,0.011
1.832,6.0737,0.0104
1.9465,6.3879,0.0264
1.5573,4.9218,0.0106
1.9468,3.6652,0.0135
1.832,3.6652,0.0333
1.637,3.7699,0.041
1.832,3.0369,0.0381
1.558,2.5133,0.0385
1.637,2.5133,0.0441
1.4356,2.4086,0.0436
1.9473,2.0944,0.0439
1.5582,1.885,0.0476
1.6369,1.4661,0.0496
1.4355,1.0472,0.0465
1.5576,0.733,0.0522
1.637,0.4189,0.0491
1.6375,0.3142,0.0566
1.558,0.2094,0.0566
1.6375,0.2094,0.0535
1.558,0.1047,0.0498
1.5582,0,0.0518
1.4356,0,0.0478
1.4352,0,0.0445
1.558,0,0.0392
1.5582,0,0.0377
1.637,0,0.0359
1.8322,0,0.0311
1.5582,0,0.0286
1.558,0,0.0245
1.5578,0,0.0211
1.7524,0,0.0137
1.558,0,0.0137
1.7527,0,0.0117
1.6373,-0.1047,0.009
1.6375,0,0.0071
